"course_name","course_rating","course_provider","course_review_num","course_terms"
"Microsoft Excel With Ease: Master Excel Spreadsheets",10,"Udemy","26","microsoft excel with eas master excel spreadsheet"
"Introduction to Microsoft Project 2010",10,"Udemy","26","introduct to microsoft project"
"The Ultimate Guide to Blogging",10,"Udemy","25","the ultim guid to blog"
"Strategy at Speed",10,"Udemy","25","strategi at speed"
"Running A Web Design Business",10,"Udemy","25","run a web design busi"
"Kindle Secrets: How I wrote a Best Selling eBook In 72 hours",10,"Udemy","26","kindl secret how i wrote a best sell ebook in hour"
"Guitar Lessons - Learn Finger Picking Blues Guitar",10,"Udemy","25","guitar lesson learn finger pick blue guitar"
"Public Speaking: Skip Theory, Dive into the Art (All Levels)",10,"Udemy","25","public speak skip theori dive into the art all level"
"Blog propio y Vive de tu Blog",10,"Udemy","25","blog propio y vive de tu blog"
"Learn Accounting. Understand Business.",10,"Udemy","25","learn account understand busi"
"Business Analytics for Beginners: Using SAS",10,"Udemy","25","busi analyt for beginn use sas"
"Learn How To Easily Make An Extra $10,000 A Month From Home",10,"Udemy","25","learn how to easili make an extra a month from home"
"Platform Yourself: How To Make It Big Using Social Media",10,"Udemy","25","platform yourself how to make it big use social media"
"Master Computers - From Beginner to Expert in One Week",10,"Udemy","24","master comput from beginn to expert in one week"
"How to Design Your Own Guitar",10,"Udemy","24","how to design your own guitar"
"Adobe Illustrator CS6 Tutorial - Training Taught By Experts",10,"Udemy","24","adob illustr cs tutori train taught by expert"
"Make The Right Video - Learn to make videos worth over $15K",10,"Udemy","24","make the right video learn to make video worth over k"
"Programación de Excel con macros usando Visual Basic",10,"Udemy","25","programación de excel con macro usando visual basic"
"Web Development by Doing HTML5 CSS3 Complete from Scratch",10,"Udemy","25","web develop by do html css complet from scratch"
"Google Tag Manager Essentials: Install Tracking the easy way",10,"Udemy","25","googl tag manag essenti instal track the easi way"
"PMP® FULL Realistic Exam & PMP Math Lectures",10,"Udemy","25","pmp full realist exam pmp math lectur"
"Automate Your Finances",10,"Udemy","25","autom your financ"
"Web Design for Beginners: Real World Coding in HTML & CSS",10,"Udemy","24","web design for beginn real world code in html css"
"Beat the SAT Math",10,"Udemy","24","beat the sat math"
"Redes Sociales para Empresas",10,"Udemy","24","rede social para empresa"
"iPhone Photography Pro",10,"Udemy","24","iphon photographi pro"
"EASILY Earn Money With Opportunities RIGHT Under Your Nose!",10,"Udemy","24","easili earn money with opportun right under your nose"
"Técnicas para ganar dinero y olvidarte de la oficina",10,"Udemy","23","técnica para ganar dinero y olvidart de la oficina"
"Professional Filmmaker, Corso di regia e riprese video",10,"Udemy","24","profession filmmak corso di regia e ripres video"
"Medical Neuroscience",10,"Coursera","24","medic neurosci"
"Creating a Business Website with a Responsive Design",10,"Udemy","24","creat a busi websit with a respons design"
"Start a Home Web Design Business and Make $1,000+ Per Month",10,"Udemy","24","start a home web design busi and make per month"
"Fit for Life:  The Science of Exercise",10,"Udemy","23","fit for life the scienc of exercis"
"Diseña sitios web en HTML5 con Adobe Muse CC sin programar",10,"Udemy","23","diseña sitio web en html con adob muse cc sin programar"
"HTML & CSS From Scratch in 30 Days",10,"Udemy","23","html css from scratch in day"
"Adobe Illustrator CS6 for professional logo designers",10,"Udemy","23","adob illustr cs for profession logo design"
"Project Portfolio Management (PPM) Essentials",10,"Udemy","23","project portfolio manag ppm essenti"
"Microsoft Excel Step by Step Training for Beginners!",10,"Udemy","23","microsoft excel step by step train for beginn"
"Startup How-To:  7 Steps to Creating a Successful Product",10,"Udemy","23","startup how to step to creat a success product"
"Udemy Mastery (Sales copies & sales videos) - Complete Guide",10,"Udemy","23","udemi masteri sale copi sale video complet guid"
"Turn Your Ideas Into Product Winners With Concept Mapping",10,"Udemy","23","turn your idea into product winner with concept map"
"B.E.A.T. Tiredness -  4 Keys to Unlocking AMAZING Energy",10,"Udemy","23","b e a t tired key to unlock amaz energi"
"Photography - Become a Better Photographer - Part II",10,"Udemy","22","photographi becom a better photograph part ii"
"The Science of Happiness: Hacks & Skills to Flourish",10,"Udemy","22","the scienc of happi hack skill to flourish"
"Life Hack With Color Psychology: Increase Your Impact",10,"Udemy","22","life hack with psycholog increas your impact"
"How to Land A Startup Job to Become An Entrepreneur",10,"Udemy","22","how to land a startup job to becom an entrepreneur"
"The Ultimate Productivity and Time Management Blueprint",10,"Udemy","23","the ultim product and time manag blueprint"
"Critical Thinker Academy: Learn to Think Like a Philosopher",10,"Udemy","22","critic thinker academi learn to think like a philosoph"
"Climate Change: The Science",10,"edX","22","climat chang the scienc"
"Udemy, Camtasia Studio 8 & PowerPoint: Screencast Mastery",10,"Udemy","22","udemi camtasia studio powerpoint screencast masteri"
"eXpresiones en Adobe After Effects - 401",10,"Udemy","22","expresion en adob after effect"
"Motion Typography from Scratch",10,"Udemy","22","motion typographi from scratch"
"Storytelling for Business",10,"Udemy","22","storytel for busi"
"How to Memorize Names and Faces",10,"Udemy","21","how to memor name and face"
"Google Search Secrets",10,"Udemy","21","googl search secret"
"Options Trading Basics (3-Course Bundle)",10,"Udemy","21","option trade basic cours bundl"
"Pinterest Marketing: Get MASSIVE  Sales & Traffic Fast!",10,"Udemy","22","pinterest market get massiv sale traffic fast"
"Brand Yourself - Ninja Blog Secrets: Total WordPress Mastery",10,"Udemy","22","brand yourself ninja blog secret total wordpress masteri"
"Cocina la Paella como todo un Master Chef",10,"Udemy","21","cocina la paella como todo un master chef"
"Building Your Brand",10,"Udemy","22","build your brand"
"The 10 Minute Daily Invigorator: Less stress, more happiness",10,"Udemy","22","the minut daili invigor less stress more happi"
"YOU can Draw, Shade and Paint a Mixed Media Girl...today!",10,"Udemy","22","you can draw shade and paint a mix media girl today"
"Microsoft Excel 2013 Course Beginners/ Intermediate Training",10,"Udemy","21","microsoft excel cours beginn intermedi train"
"Aprende a crear Apps para iPhone e iPad. Iniciación iOS",10,"Udemy","21","aprend a crear app para iphon e ipad iniciación io"
"Learn To Raise $100K Crowdfunding",10,"Udemy","21","learn to rais k crowdfund"
"Ultimate Beginner's Class to Learn Stand Up Comedy",10,"Udemy","21","ultim beginn s class to learn stand up comedi"
"Email en sus negocios",10,"Udemy","21","email en sus negocio"
"Budget - Save - Win.  Simplify your financial life.",10,"Udemy","21","budget save win simplifi your financi life"
"Create a Damn Good Business Plan !?",10,"Udemy","21","creat a damn good busi plan"
"Core Excel - Microsoft Excel Training",10,"Udemy","21","core excel microsoft excel train"
"Posturecise - How To Create A Healthy Posture Habit For Life",10,"Udemy","21","posturecis how to creat a healthi postur habit for life"
"Small Business Lead Generation",10,"Udemy","21","small busi lead generat"
"Curso de UX Design em Português",10,"Udemy","21","curso de ux design em portuguê"
"How To Build Your Network As An Entrepreneur",10,"Udemy","21","how to build your network as an entrepreneur"
"SUCCESS: How to Master Your Mindset & Achieve Your Goals Now",10,"Udemy","20","success how to master your mindset achiev your goal now"
"Sublime Text Workflow",10,"Udemy","21","sublim text workflow"
"Discover Your Passion - How To Change Your Life Immediately",10,"Udemy","20","discov your passion how to chang your life immedi"
"Archaeology's Dirty Little Secrets",10,"Coursera","21","archaeolog s dirti littl secret"
"Sports Broadcasting",10,"Udemy","21","sport broadcast"
"How To Get Rich Writing, Publishing and Selling Kindle Books",10,"Udemy","21","how to get rich write publish and sell kindl book"
"HTML5 Part 2: Advanced Techniques for Designing HTML5 Apps",10,"edX","21","html part advanc techniqu for design html app"
"Black Algo Trading: Build Your Trading Robot in 1Hour",10,"Udemy","21","black algo trade build your trade robot in hour"
"Twitter for Beginners",10,"Udemy","20","twitter for beginn"
"The Podcast Blueprint",10,"Udemy","20","the podcast blueprint"
"Learn How To Make Money Online With Very Little Work",10,"Udemy","20","learn how to make money onlin with veri littl work"
"Facebook Marketing: Get 30X More Results in 30 Days!",10,"Udemy","20","facebook market get x more result in day"
"Curso de guitarra para principiantes",10,"Udemy","20","curso de guitarra para principiant"
"How To Rank Up Your Youtube Videos On First Page of Google",10,"Udemy","20","how to rank up your youtub video on first page of googl"
"Street Fotografie: Erfolgreich auf der Strasse fotografieren",10,"Udemy","20","street fotografi erfolgreich auf der strass fotografieren"
"Forex Robots: Make 175% Profit P.A. Forex Robot Included!",10,"Udemy","20","forex robot make profit p a forex robot includ"
"Sublime Text ¡Sé más productivo y desarrolla más rápido!",10,"Udemy","20","sublim text sé más productivo y desarrolla más rápido"
"AdWords For SaaS Startups",10,"Udemy","20","adword for saa startup"
"Learn to program in Java",10,"Udemy","20","learn to program in java"
"How to Self-Publish Children's Books on Kindle",10,"Udemy","20","how to self publish children s book on kindl"
